ID,description,Bgd count,genes,Result gene list,Pct of bgd,Fold enrichment,Odds ratio,P-value,Benjamini,Bonferroni
GO:0034605,cellular response to heat,127,17,"CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,",13.4,3.43,4.06,6.98687E-06,0.001835616,0.003779899
GO:0006950,response to stress,467,38,"CNAG_00654,CNAG_00691,CNAG_01081,CNAG_01138,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_01551,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03561,CNAG_03670,CNAG_04398,CNAG_04861,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06241,CNAG_06242,CNAG_06310,CNAG_06311,CNAG_06346,CNAG_06658,CNAG_06724,CNAG_06762,CNAG_06835,",8.1,2.08,2.46,7.31015E-06,0.001835616,0.003954791
GO:0050896,response to stimulus,651,47,"CNAG_00332,CNAG_00374,CNAG_00654,CNAG_00691,CNAG_01081,CNAG_01138,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_01551,CNAG_01672,CNAG_01982,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03438,CNAG_03561,CNAG_03670,CNAG_04213,CNAG_04398,CNAG_04861,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05813,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06241,CNAG_06242,CNAG_06310,CNAG_06311,CNAG_06346,CNAG_06606,CNAG_06658,CNAG_06724,CNAG_06762,CNAG_06835,CNAG_07799,",7.2,1.85,2.19,1.34306E-05,0.001835616,0.007265946
GO:0009266,response to temperature stimulus,164,19,"CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,",11.6,2.97,3.46,1.6965E-05,0.001835616,0.009178082
GO:0009408,response to heat,164,19,"CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,",11.6,2.97,3.46,1.6965E-05,0.001835616,0.009178082
GO:0055085,transmembrane transport,350,29,"CNAG_00303,CNAG_00539,CNAG_00540,CNAG_00597,CNAG_00598,CNAG_00675,CNAG_00979,CNAG_01318,CNAG_01681,CNAG_01690,CNAG_01742,CNAG_02455,CNAG_02479,CNAG_02600,CNAG_03438,CNAG_03600,CNAG_03719,CNAG_04210,CNAG_04416,CNAG_04546,CNAG_05330,CNAG_05340,CNAG_05812,CNAG_05867,CNAG_06186,CNAG_06242,CNAG_07695,CNAG_07799,CNAG_07869,",8.3,2.12,2.43,7.4972E-05,0.006759976,0.040559859
GO:0009628,response to abiotic stimulus,251,23,"CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_02675,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06658,CNAG_06835,",9.2,2.35,2.67,9.90207E-05,0.007652888,0.053570214
GO:0051716,cellular response to stimulus,471,35,"CNAG_00332,CNAG_00374,CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_01672,CNAG_01982,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03438,CNAG_03670,CNAG_04213,CNAG_04861,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05803,CNAG_05813,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06310,CNAG_06311,CNAG_06606,CNAG_06658,CNAG_06724,CNAG_06835,CNAG_07799,",7.4,1.9,2.18,0.000120847,0.008172311,0.065378488
GO:0033554,cellular response to stress,336,26,"CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04861,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06310,CNAG_06311,CNAG_06658,CNAG_06724,CNAG_06835,",7.7,1.98,2.22,0.000539635,0.03243806,0.291942544
GO:0006078,(1->6)-beta-D-glucan biosynthetic process,6,3,"CNAG_00914,CNAG_06832,CNAG_06835,",50,12.8,24.95,0.00107688,0.052962896,0.582591859
