ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0034605	cellular response to heat	127	17	CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,	13.4	3.43	4.06	6.98687389476e-06	0.00183561642152	0.00377989877706
GO:0006950	response to stress	467	38	CNAG_00654,CNAG_00691,CNAG_01081,CNAG_01138,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_01551,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03561,CNAG_03670,CNAG_04398,CNAG_04861,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06241,CNAG_06242,CNAG_06310,CNAG_06311,CNAG_06346,CNAG_06658,CNAG_06724,CNAG_06762,CNAG_06835,	8.1	2.08	2.46	7.31014885451e-06	0.00183561642152	0.00395479053029
GO:0050896	response to stimulus	651	47	CNAG_00332,CNAG_00374,CNAG_00654,CNAG_00691,CNAG_01081,CNAG_01138,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_01551,CNAG_01672,CNAG_01982,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03438,CNAG_03561,CNAG_03670,CNAG_04213,CNAG_04398,CNAG_04861,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05813,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06241,CNAG_06242,CNAG_06310,CNAG_06311,CNAG_06346,CNAG_06606,CNAG_06658,CNAG_06724,CNAG_06762,CNAG_06835,CNAG_07799,	7.2	1.85	2.19	1.34305841063e-05	0.00183561642152	0.00726594600152
GO:0009266	response to temperature stimulus	164	19	CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,	11.6	2.97	3.46	1.69650316222e-05	0.00183561642152	0.0091780821076
GO:0009408	response to heat	164	19	CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06835,	11.6	2.97	3.46	1.69650316222e-05	0.00183561642152	0.0091780821076
GO:0055085	transmembrane transport	350	29	CNAG_00303,CNAG_00539,CNAG_00540,CNAG_00597,CNAG_00598,CNAG_00675,CNAG_00979,CNAG_01318,CNAG_01681,CNAG_01690,CNAG_01742,CNAG_02455,CNAG_02479,CNAG_02600,CNAG_03438,CNAG_03600,CNAG_03719,CNAG_04210,CNAG_04416,CNAG_04546,CNAG_05330,CNAG_05340,CNAG_05812,CNAG_05867,CNAG_06186,CNAG_06242,CNAG_07695,CNAG_07799,CNAG_07869,	8.3	2.12	2.43	7.49720123905e-05	0.00675997645054	0.0405598587032
GO:0009628	response to abiotic stimulus	251	23	CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_02675,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04398,CNAG_04874,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05731,CNAG_05742,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06311,CNAG_06658,CNAG_06835,	9.2	2.35	2.67	9.90207277089e-05	0.00765288767007	0.0535702136905
GO:0051716	cellular response to stimulus	471	35	CNAG_00332,CNAG_00374,CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_01672,CNAG_01982,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03438,CNAG_03670,CNAG_04213,CNAG_04861,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05803,CNAG_05813,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06310,CNAG_06311,CNAG_06606,CNAG_06658,CNAG_06724,CNAG_06835,CNAG_07799,	7.4	1.9	2.18	0.000120847481892	0.00817231096296	0.0653784877037
GO:0033554	cellular response to stress	336	26	CNAG_00691,CNAG_01081,CNAG_01333,CNAG_01506,CNAG_02323,CNAG_02675,CNAG_02979,CNAG_03019,CNAG_03223,CNAG_03670,CNAG_04861,CNAG_04874,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05731,CNAG_05803,CNAG_05915,CNAG_05916,CNAG_05972,CNAG_06200,CNAG_06310,CNAG_06311,CNAG_06658,CNAG_06724,CNAG_06835,	7.7	1.98	2.22	0.000539635016736	0.0324380604504	0.291942544054
GO:0006078	(1->6)-beta-D-glucan biosynthetic process	6	3	CNAG_00914,CNAG_06832,CNAG_06835,	50.0	12.8	24.95	0.00107687959203	0.0529628962991	0.58259185929
GO:0006077	(1->6)-beta-D-glucan metabolic process	6	3	CNAG_00914,CNAG_06832,CNAG_06835,	50.0	12.8	24.95	0.00107687959203	0.0529628962991	0.58259185929
GO:0045229	external encapsulating structure organization	127	13	CNAG_00883,CNAG_01438,CNAG_01551,CNAG_02797,CNAG_03322,CNAG_03326,CNAG_03438,CNAG_03561,CNAG_03670,CNAG_03894,CNAG_04969,CNAG_06241,CNAG_06762,	10.2	2.62	2.93	0.001251455777	0.0564197979463	0.677037575355
GO:0051274	beta-glucan biosynthetic process	7	3	CNAG_00914,CNAG_06832,CNAG_06835,	42.9	10.97	18.71	0.00183041459792	0.0761734074979	0.990254297473
GO:0045230	capsule organization	107	11	CNAG_00883,CNAG_01438,CNAG_01551,CNAG_02797,CNAG_03322,CNAG_03438,CNAG_03561,CNAG_03670,CNAG_03894,CNAG_04969,CNAG_06762,	10.3	2.63	2.92	0.0028429735088	0.109860619161	1.0
GO:0009250	glucan biosynthetic process	9	3	CNAG_00914,CNAG_06832,CNAG_06835,	33.3	8.53	12.47	0.00414497511201	0.140154004347	1.0
GO:0042221	response to chemical	407	27	CNAG_00332,CNAG_00374,CNAG_00654,CNAG_01333,CNAG_01438,CNAG_01506,CNAG_01551,CNAG_02675,CNAG_03019,CNAG_03438,CNAG_03561,CNAG_03670,CNAG_04861,CNAG_04969,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05742,CNAG_05813,CNAG_06200,CNAG_06241,CNAG_06242,CNAG_06310,CNAG_06658,CNAG_06762,CNAG_06835,CNAG_07799,	6.6	1.7	1.86	0.00414503524872	0.140154004347	1.0
GO:0070887	cellular response to chemical stimulus	244	18	CNAG_00332,CNAG_00374,CNAG_01333,CNAG_01506,CNAG_02675,CNAG_03019,CNAG_03438,CNAG_03670,CNAG_04861,CNAG_05159,CNAG_05632,CNAG_05657,CNAG_05813,CNAG_06200,CNAG_06310,CNAG_06658,CNAG_06835,CNAG_07799,	7.4	1.89	2.05	0.00655025807589	0.197953821989	1.0
GO:0009063	cellular amino acid catabolic process	20	4	CNAG_00247,CNAG_00879,CNAG_02049,CNAG_04344,	20.0	5.12	6.25	0.00669442733119	0.197953821989	1.0
GO:0051273	beta-glucan metabolic process	11	3	CNAG_00914,CNAG_06832,CNAG_06835,	27.3	6.98	9.35	0.00768397460585	0.197953821989	1.0
GO:0033692	cellular polysaccharide biosynthetic process	11	3	CNAG_00914,CNAG_06832,CNAG_06835,	27.3	6.98	9.35	0.00768397460585	0.197953821989	1.0
GO:0000271	polysaccharide biosynthetic process	11	3	CNAG_00914,CNAG_06832,CNAG_06835,	27.3	6.98	9.35	0.00768397460585	0.197953821989	1.0
GO:0005975	carbohydrate metabolic process	140	12	CNAG_00122,CNAG_00373,CNAG_00914,CNAG_01239,CNAG_02225,CNAG_04344,CNAG_04874,CNAG_05264,CNAG_05803,CNAG_06832,CNAG_06835,CNAG_07600,	8.6	2.19	2.39	0.00817807463982	0.201106290007	1.0
